WKT,id,left,top,right,bottom,row_index,col_index
"POLYGON ((6645834.4262729 2156423.95698886,6653839.67561673 2156423.95698886,6653839.67561673 2148418.70764502,6645834.4262729 2148418.70764502,6645834.4262729 2156423.95698886))","43",6645834.4262729,2156423.95698886,6653839.67561673,2148418.70764502,"16","1"
"POLYGON ((6645834.4262729 2148418.70764502,6653839.67561673 2148418.70764502,6653839.67561673 2140413.45830119,6645834.4262729 2140413.45830119,6645834.4262729 2148418.70764502))","44",6645834.4262729,2148418.70764502,6653839.67561673,2140413.45830119,"17","1"
"POLYGON ((6645834.4262729 2140413.45830119,6653839.67561673 2140413.45830119,6653839.67561673 2132408.20895736,6645834.4262729 2132408.20895736,6645834.4262729 2140413.45830119))","45",6645834.4262729,2140413.45830119,6653839.67561673,2132408.20895736,"18","1"
"POLYGON ((6645834.4262729 2132408.20895736,6653839.67561673 2132408.20895736,6653839.67561673 2124402.95961353,6645834.4262729 2124402.95961353,6645834.4262729 2132408.20895736))","46",6645834.4262729,2132408.20895736,6653839.67561673,2124402.95961353,"19","1"
"POLYGON ((6645834.4262729 2124402.95961353,6653839.67561673 2124402.95961353,6653839.67561673 2116397.7102697,6645834.4262729 2116397.7102697,6645834.4262729 2124402.95961353))","47",6645834.4262729,2124402.95961353,6653839.67561673,2116397.7102697,"20","1"
"POLYGON ((6645834.4262729 2116397.7102697,6653839.67561673 2116397.7102697,6653839.67561673 2108392.46092586,6645834.4262729 2108392.46092586,6645834.4262729 2116397.7102697))","48",6645834.4262729,2116397.7102697,6653839.67561673,2108392.46092586,"21","1"
"POLYGON ((6645834.4262729 2108392.46092586,6653839.67561673 2108392.46092586,6653839.67561673 2100387.21158203,6645834.4262729 2100387.21158203,6645834.4262729 2108392.46092586))","49",6645834.4262729,2108392.46092586,6653839.67561673,2100387.21158203,"22","1"
"POLYGON ((6645834.4262729 2100387.21158203,6653839.67561673 2100387.21158203,6653839.67561673 2092381.9622382,6645834.4262729 2092381.9622382,6645834.4262729 2100387.21158203))","50",6645834.4262729,2100387.21158203,6653839.67561673,2092381.9622382,"23","1"
"POLYGON ((6645834.4262729 2092381.9622382,6653839.67561673 2092381.9622382,6653839.67561673 2084376.71289437,6645834.4262729 2084376.71289437,6645834.4262729 2092381.9622382))","51",6645834.4262729,2092381.9622382,6653839.67561673,2084376.71289437,"24","1"
"POLYGON ((6645834.4262729 2084376.71289437,6653839.67561673 2084376.71289437,6653839.67561673 2076371.46355054,6645834.4262729 2076371.46355054,6645834.4262729 2084376.71289437))","52",6645834.4262729,2084376.71289437,6653839.67561673,2076371.46355054,"25","1"
